mvno_mobile,,URL,画像,機種名,型名,メーカー,価格,色,OS,CPU,RAM,ROM,外部メディア,ディスプレイ,解像度,カメラ,カメラ(サブ),バッテリー,大きさ,重さ,SIMサイズ,WiFi,Bluetooth,LTE対応,VoLTE,防水,お財布
id,shortname,url,img,name,model,maker,cost,color,os,cpu,ram,rom,media,display,resolution,camera,camera_sub,battery,size,weight,sim_size,wifi,bluetooth,lte,volte,waterproof,wallet
integer,text,text,text,text,text,text,integer,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text
1,miyabi,https://www.freetel.jp/product/smartphone/miyabi/,http://simtoku.net/wp-content/themes/sim/img/miyabi.jpg,雅(MIYABI),FTJ152C-Miyabi,FREETEL,19800,ブラック/ホワイト/シャンパンゴールド,Android 5.1,Quad core 1.3GHz,2GB,32GB,microSD/microSDXC,5.0inch,1280x720,1300万画素,500万画素,2200mAh(取り外し可能),142x72x8.2,約150g,microSIM(2スロット),802.11b/g/n,4.0 LE対応,,,,
2,priori3,https://www.freetel.jp/product/smartphone/priori3/,http://simtoku.net/wp-content/themes/sim/img/priori3.jpg,Priori3 LTE,FTJ152A-Priori3 LTE,FREETEL,12800,ブラック/ホワイト/ヌーディーベージュ/ビビットオレンジ/ルビーレッド/ミントブルー,Android 5.1,Quad core 1.0GHz,1GB,8GB,microSDXC,4.5inch,854x480,800万画素,200万画素,2100mAh,132x65x8.9,約120g,microSIM(2スロット),802.11a/b/g/n,4.0 LE対応,,,,
3,kiwami,https://www.freetel.jp/product/smartphone/kiwami/,http://simtoku.net/wp-content/themes/sim/img/kiwami.jpg,極(KIWAMI),FTJ152D-Kiwami,FREETEL,39800,黒/白/和柄,Android 5.1,Octa core 2.0GHz,3GB,32GB,microSDXC,6.0inch,2560x1440,2100万画素,800万画素,3400mAh,159.5x82.9x8.9,約182g,microSIM/nanoSIM,802.11a/b/g/n/ac,4.1 LE対応,,,,
4,iphone6s,http://www.apple.com/jp/iphone-6s/,http://simtoku.net/wp-content/themes/sim/img/iphone6s.jpg,iPhone 6s,iPhone 6s,APPLE,86800,シルバー/ゴールド/スペースグレイ/ローズゴールド,iOS9,A9,不明,16GB/64GB/128GB,なし,4.7inch,1334x750,1200万画素,500万画素,不明,138.3x67.1x7.1,143g,nanoSIM,802.11a/b/g/n/ac,4.2,,,,
5,iphone6splus,http://www.apple.com/jp/iphone-6s/,http://simtoku.net/wp-content/themes/sim/img/iphone6splus.jpg,iPhone 6s Plus,iPhone 6s Plus,APPLE,98800,シルバー/ゴールド/スペースグレイ/ローズゴールド,iOS9,A9,不明,16GB/64GB/128GB,なし,5.5inch,1920x1080,1200万画素,500万画素,不明,158.2x77.9x7.3,192g,nanoSIM,802.11a/b/g/n/ac,4.2,,,,
6,zenfone2laser,https://www.asus.com/jp/Phone/ZenFone-2-Laser-ZE500KL/,http://simtoku.net/wp-content/themes/sim/img/zenfone2laser.jpg,ZenFone 2 Laser,ZE500KL-BK16,ASUS,27800,ブラック/ホワイト/レッド,Android 5.0(Lollipop),Quad core 1.2GHz,2GB,16GB,microSDXC/microSDHC/microSD,5inch,1280x720,1300万画素,500万画素,2400mAh,143.7x71.5x10.5,約145g,microSIM(2スロット),802.11b/g/n,4,,,,
7,zenfone2,https://www.asus.com/jp/Phone/ZenFone_2_ZE551ML/,http://simtoku.net/wp-content/themes/sim/img/zenfone2.jpg,ZenFone 2,ZE551ML,ASUS,32800,ブラック/レッド/グレー/ゴールド,Android 5.0(Lollipop),Quad core 1.8GHz,2GB/4GB,32GB/64GB,microSD,5.5inch,1920x1080,1300万画素,500万画素,3000mAh,152.5x77.2x3.9,170g,microSIM(2スロット),802.11a/b/g/n/ac,4,,,,
8,priori3s,https://www.freetel.jp/product/smartphone/priori3s/,http://simtoku.net/wp-content/themes/sim/img/priori3s.jpg,Priori3S LTE,FTJ152B-Priori3S LTE,FREETEL,17800,マットブラック/パールホワイト/ネイビー,Android 5.1,Quad core 1.0GHz,2GB,16GB,microSD,5.0inch,1280x720,800万画素,200万画素,4000mAh,144x72x9.4,約161g,microSIM/nanoSIM,802.11a/b/g/n,4.0 LE対応,,,,
9,musashi,https://www.freetel.jp/product/smartphone/musashi/,http://simtoku.net/wp-content/themes/sim/img/musashi.jpg,MUSASHI,FTJ161A-Musashi,FREETEL,24800,ブラック/シャンパンゴールド/ホワイト,Android 5.1,Quad core 1.0GHz,1GB,8GB,microSDXC/microSDHC/microSD,4.0inch/4.0inch,800x480/800x480,800万画素,200万画素,2000mAh,123.1x63.1x17.6,約198g,microSIM(2スロット),802.11a/b/g/n,4.0 LE対応,,,,
10,p8lite,http://consumer.huawei.com/minisite/jp/p8lite/,http://simtoku.net/wp-content/themes/sim/img/p8litei.jpg,HUAWEI P8lite,P8lite,HUAWEI,28600,ホワイト/ブラック/ゴールド,Android 5.0(Lollipop),Octa core 1.2GHz,2GB,16GB,microSD,5.0inch,720x1280,1300万画素,500万画素,2200mAh,143x71x7.7,約131g,microSIM/nanoSIM,802.11b/g/n,4.0 LE対応,,,,
11,iphonese,http://www.apple.com/jp/iphone-se/,http://simtoku.net/wp-content/themes/sim/img/iphonese.jpg,iPhone SE,iPhone SE,APPLE,52800,シルバー/ゴールド/スペースグレイ/ローズゴールド,iOS9,A9,不明,16GB/64GB,なし,4.0inch,1136x640,1200万画素,120万画素,不明,123.8x58.6x7.6,約113g,nanoSIM,802.11a/b/g/n/ac,4.2,,,,
