mvno_plan,,,プラン名,基本プラン,データ通信,SMS付,音声通話付,月額料金,最大通信速度,データ量,速度制限,追加クーポン,データ繰り越し,最低契約期間,解約料
id,shortname,id_plan,plan_name,plan_basic,sim_data,sim_sms,sim_voice,cost,speed,data,speed_limit,coupon,carry_over,contract_period,penalty
integer,text,integer,text,integer,integer,integer,integer,integer,text,text,text,text,text,text,text
1,ocn,1,110MB/日,1,1,,,900,262.5Mbps,110MB/日,200kbps,1日/500円,〇(翌日まで),,
2,ocn,2,170MB/日,1,1,,,1380,262.5Mbps,170MB/日,200kbps,1日/500円,〇(翌日まで),,
3,ocn,3,3GB/月,1,1,,,1100,262.5Mbps,3GB,200kbps,0.5GB/500円,〇,,
4,ocn,4,5GB/月,1,1,,,1450,262.5Mbps,5GB,200kbps,0.5GB/500円,〇,,
5,ocn,5,10GB/月,1,1,,,2300,262.5Mbps,10GB,200kbps,0.5GB/500円,〇,,
6,ocn,6,15GB/月,1,1,,,1800,500kbps,15GB,200kbps,0.5GB/500円,〇,,
7,ocn,7,110MB/日,1,,1,,1020,262.5Mbps,110MB/日,200kbps,1日/500円,〇(翌日まで),,
8,ocn,8,170MB/日,1,,1,,1500,262.5Mbps,170MB/日,200kbps,1日/500円,〇(翌日まで),,
9,ocn,9,3GB/月,1,,1,,1220,262.5Mbps,3GB,200kbps,0.5GB/500円,〇,,
10,ocn,10,5GB/月,1,,1,,1570,262.5Mbps,5GB,200kbps,0.5GB/500円,〇,,
11,ocn,11,10GB/月,1,,1,,2420,262.5Mbps,10GB,200kbps,0.5GB/500円,〇,,
12,ocn,12,15GB/月,1,,1,,1920,500kbps,15GB,200kbps,0.5GB/500円,〇,,
13,ocn,13,110MB/日,1,,,1,1600,262.5Mbps,110MB/日,200kbps,1日/500円,〇(翌日まで),6か月,8000円
14,ocn,14,170MB/日,1,,,1,2080,262.5Mbps,170MB/日,200kbps,1日/500円,〇(翌日まで),6か月,8000円
15,ocn,15,3GB/月,1,,,1,1800,262.5Mbps,3GB,200kbps,0.5GB/500円,〇,6か月,8000円
16,ocn,16,5GB/月,1,,,1,2150,262.5Mbps,5GB,200kbps,0.5GB/500円,〇,6か月,8000円
17,ocn,17,10GB/月,1,,,1,3000,262.5Mbps,10GB,200kbps,0.5GB/500円,〇,6か月,8000円
18,ocn,18,15GB/月,1,,,1,2500,500kbps,15GB,200kbps,0.5GB/500円,〇,6か月,8000円
19,ocn,19,期間型 50MB/日 20日間,,,,,2800円/20日間,150Mbps,50MB/日,200kbps,,,,
20,ocn,20,容量型 1.GB,,,,,3200,150Mbps,1GB/4か月,,1GB/2000円,,,
21,ocn,21,期間型 30MB/日 30日間,,,,,3791,150Mbps,30MB/日,200kbps,,,,
22,iijmio,1,ミニマムスタートプラン,1,1,,,900,225Mbps,3GB,200kbps,100MB/200円,〇,,
23,iijmio,2,ライトスタートプラン,1,1,,,1520,225Mbps,5GB,200kbps,100MB/200円,〇,,
24,iijmio,3,ファミリーシェアプラン,1,1,,,2560,225Mbps,10GB,200kbps,100MB/200円,〇,,
25,iijmio,4,ミニマムスタートプラン,1,,1,,1040,225Mbps,3GB,200kbps,100MB/200円,〇,,
26,iijmio,5,ライトスタートプラン,1,,1,,1660,225Mbps,5GB,200kbps,100MB/200円,〇,,
27,iijmio,6,ファミリーシェアプラン,1,,1,,2700,225Mbps,10GB,200kbps,100MB/200円,〇,,
28,iijmio,7,ミニマムスタートプラン,1,,,1,1600,225Mbps,3GB,200kbps,100MB/200円,〇,12か月,残り月×1000円
29,iijmio,8,ライトスタートプラン,1,,,1,2220,225Mbps,5GB,200kbps,100MB/200円,〇,12か月,残り月×1000円
30,iijmio,9,ファミリーシェアプラン,1,,,1,3260,225Mbps,10GB,200kbps,100MB/200円,〇,12か月,残り月×1000円
31,iijmio,10,プリペイドパック,,,,,3791円/3か月,225Mbps,2GB/3か月,,500MB/1500円,,,
32,biglobe,1,エントリープラン 3GB,1,1,,,900,225Mbps,3GB,200kbps,100MB/300円,〇,,
33,biglobe,2,ライトSプラン 6GB,1,1,,,1450,225Mbps,6GB,200kbps,100MB/300円,〇,,
34,biglobe,3,12ギガプラン 12GB,1,1,,,2700,225Mbps,12GB,200kbps,100MB/300円,〇,,
35,biglobe,4,エントリープラン 3GB,1,,1,,1020,225Mbps,3GB,200kbps,100MB/300円,〇,,
36,biglobe,5,ライトSプラン 6GB,1,,1,,1570,225Mbps,6GB,200kbps,100MB/300円,〇,,
37,biglobe,6,12ギガプラン 12GB,1,,1,,2820,225Mbps,12GB,200kbps,100MB/300円,〇,,
38,biglobe,7,音声通話スタートプラン,1,,,1,1400,225Mbps,1GB,200kbps,100MB/300円,〇,12か月,8000円
39,biglobe,8,エントリープラン 3GB,1,,,1,1600,225Mbps,3GB,200kbps,100MB/300円,〇,12か月,8000円
40,biglobe,9,ライトSプラン 6GB,1,,,1,2150,225Mbps,6GB,200kbps,100MB/300円,〇,12か月,8000円
41,biglobe,10,12ギガプラン 12GB,1,,,1,3400,225Mbps,12GB,200kbps,100MB/300円,〇,12か月,8000円
42,b-mobile,1,b-mobile SIM ライトプラン,1,1,,,1180,150Mbps,3GB,200kbps,100MB/300円,,,
43,b-mobile,2,b-mobile SIM 高速定額,1,1,,,1980,150Mbps,無制限,,100MB/300円,,,
44,b-mobile,3,b-mobile SIM ライトプラン,1,,,1,1980,150Mbps,3GB,200kbps,100MB/300円,,5か月,8000円
45,b-mobile,4,b-mobile SIM 高速定額,1,,,1,2780,150Mbps,無制限,,100MB/300円,,5か月,8000円
46,b-mobile,5,b-mobile おかわりSIM,1,1,,,500～1500,150Mbps,1GB～5GB,200kbps,100MB/300円,,,
47,b-mobile,6,b-mobile X SIM プランI,,1,,,900,150Mbps,1.01GB,200kbps,100MB/300円,,,
48,b-mobile,7,b-mobile X SIM プランN,,1,,,900,150Mbps,51MB/日,200kbps,100MB/300円,,,
49,b-mobile,8,b-mobile X SIM プランB,,1,,,1505,150Mbps,2.2GB,200kbps,100MB/300円,,,
50,b-mobile,9,b-mobile X SIM プランFlat,,1,,,2980,150Mbps,7GB,200kbps,100MB/300円,,,
51,b-mobile,10,スマホ電話SIM  フリーData,,,,1,1560～,150Mbps,1GB～(GB,200kbps,100MB/300円,,12か月,8000円+3000円
52,so-net,1,プラン140M/day,1,1,,,880,150Mbps,140MB/日,200kbps,,,,
53,so-net,2,プラン200M/day,1,1,,,1278,150Mbps,200MB/日,200kbps,,,,
54,dmm,1,ライトプラン,1,1,,,440,200kbps,0GB,200kbps,100MB/200円,〇,,
55,dmm,2,1GB,1,1,,,480,225Mbps,1GB,200kbps,100MB/200円,〇,,
56,dmm,3,2GB,1,1,,,770,225Mbps,2GB,200kbps,100MB/200円,〇,,
57,dmm,4,3GB,1,1,,,850,225Mbps,3GB,200kbps,100MB/200円,〇,,
